"filename", "language", "TypeScript", "JavaScript", "TypeScript JSX", "JSON", "CSS", "YAML", "comment", "blank", "total"
"/Users/spursh/Documents/code/hours-frontend-next/app/admin/components/EditOrganizationDialog.tsx", "TypeScript JSX", 0, 0, 81, 0, 0, 0, 0, 5, 86
"/Users/spursh/Documents/code/hours-frontend-next/app/admin/components/EditUserDialog.tsx", "TypeScript JSX", 0, 0, 116, 0, 0, 0, 0, 5, 121
"/Users/spursh/Documents/code/hours-frontend-next/app/admin/components/HoursFiltersBar.tsx", "TypeScript JSX", 0, 0, 50, 0, 0, 0, 0, 4, 54
"/Users/spursh/Documents/code/hours-frontend-next/app/admin/components/HoursTab.tsx", "TypeScript JSX", 0, 0, 88, 0, 0, 0, 0, 4, 92
"/Users/spursh/Documents/code/hours-frontend-next/app/admin/components/HoursTable.tsx", "TypeScript JSX", 0, 0, 71, 0, 0, 0, 0, 5, 76
"/Users/spursh/Documents/code/hours-frontend-next/app/admin/components/HoursTableRow.tsx", "TypeScript JSX", 0, 0, 82, 0, 0, 0, 0, 5, 87
"/Users/spursh/Documents/code/hours-frontend-next/app/admin/components/OrganizationsTab.tsx", "TypeScript JSX", 0, 0, 97, 0, 0, 0, 0, 4, 101
"/Users/spursh/Documents/code/hours-frontend-next/app/admin/components/OverviewTab.tsx", "TypeScript JSX", 0, 0, 49, 0, 0, 0, 0, 4, 53
"/Users/spursh/Documents/code/hours-frontend-next/app/admin/components/PasswordResetDialog.tsx", "TypeScript JSX", 0, 0, 67, 0, 0, 0, 0, 5, 72
"/Users/spursh/Documents/code/hours-frontend-next/app/admin/components/PendingSupervisorApprovals.tsx", "TypeScript JSX", 0, 0, 53, 0, 0, 0, 0, 5, 58
"/Users/spursh/Documents/code/hours-frontend-next/app/admin/components/RecentActivityCard.tsx", "TypeScript JSX", 0, 0, 66, 0, 0, 0, 0, 6, 72
"/Users/spursh/Documents/code/hours-frontend-next/app/admin/components/SearchAndStatusFilter.tsx", "TypeScript JSX", 0, 0, 42, 0, 0, 0, 0, 4, 46
"/Users/spursh/Documents/code/hours-frontend-next/app/admin/components/StatisticsTab.tsx", "TypeScript JSX", 0, 0, 95, 0, 0, 0, 0, 6, 101
"/Users/spursh/Documents/code/hours-frontend-next/app/admin/components/StudentsTab.tsx", "TypeScript JSX", 0, 0, 36, 0, 0, 0, 0, 4, 40
"/Users/spursh/Documents/code/hours-frontend-next/app/admin/components/StudentsTable.tsx", "TypeScript JSX", 0, 0, 77, 0, 0, 0, 0, 4, 81
"/Users/spursh/Documents/code/hours-frontend-next/app/admin/components/SupervisorsTab.tsx", "TypeScript JSX", 0, 0, 45, 0, 0, 0, 0, 4, 49
"/Users/spursh/Documents/code/hours-frontend-next/app/admin/components/SupervisorsTable.tsx", "TypeScript JSX", 0, 0, 74, 0, 0, 0, 0, 4, 78
"/Users/spursh/Documents/code/hours-frontend-next/app/admin/components/SystemStatusCard.tsx", "TypeScript JSX", 0, 0, 41, 0, 0, 0, 0, 4, 45
"/Users/spursh/Documents/code/hours-frontend-next/app/admin/components/TabsContainer.tsx", "TypeScript JSX", 0, 0, 101, 0, 0, 0, 0, 4, 105
"/Users/spursh/Documents/code/hours-frontend-next/app/admin/components/TopStudentsCard.tsx", "TypeScript JSX", 0, 0, 62, 0, 0, 0, 0, 5, 67
"/Users/spursh/Documents/code/hours-frontend-next/app/admin/components/index.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 1, 33
"/Users/spursh/Documents/code/hours-frontend-next/app/admin/page.tsx", "TypeScript JSX", 0, 0, -846, 0, 0, 0, -9, -35, -890
"/Users/spursh/Documents/code/hours-frontend-next/app/forgot-password/page.tsx", "TypeScript JSX", 0, 0, 193, 0, 0, 0, 4, 20, 217
"/Users/spursh/Documents/code/hours-frontend-next/app/globals.css", "CSS", 0, 0, 0, 0, 96, 0, 0, 12, 108
"/Users/spursh/Documents/code/hours-frontend-next/app/help/page.tsx", "TypeScript JSX", 0, 0, 22, 0, 0, 0, 0, 0, 22
"/Users/spursh/Documents/code/hours-frontend-next/app/layout.tsx", "TypeScript JSX", 0, 0, 17, 0, 0, 0, 0, 0, 17
"/Users/spursh/Documents/code/hours-frontend-next/app/login/components/StaffLoginForm.tsx", "TypeScript JSX", 0, 0, 90, 0, 0, 0, 0, 9, 99
"/Users/spursh/Documents/code/hours-frontend-next/app/login/components/StudentLoginForm.tsx", "TypeScript JSX", 0, 0, 85, 0, 0, 0, 0, 9, 94
"/Users/spursh/Documents/code/hours-frontend-next/app/login/page.tsx", "TypeScript JSX", 0, 0, -337, 0, 0, 0, -11, -35, -383
"/Users/spursh/Documents/code/hours-frontend-next/app/page.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/spursh/Documents/code/hours-frontend-next/app/register/components/GraduationYearField.tsx", "TypeScript JSX", 0, 0, 32, 0, 0, 0, 0, 4, 36
"/Users/spursh/Documents/code/hours-frontend-next/app/register/components/OrganizationField.tsx", "TypeScript JSX", 0, 0, 40, 0, 0, 0, 0, 4, 44
"/Users/spursh/Documents/code/hours-frontend-next/app/register/components/ProofTypeField.tsx", "TypeScript JSX", 0, 0, 30, 0, 0, 0, 0, 4, 34
"/Users/spursh/Documents/code/hours-frontend-next/app/register/components/StaffRegistrationForm.tsx", "TypeScript JSX", 0, 0, 89, 0, 0, 0, 0, 7, 96
"/Users/spursh/Documents/code/hours-frontend-next/app/register/components/StaffRegistrationInfo.tsx", "TypeScript JSX", 0, 0, 13, 0, 0, 0, 0, 3, 16
"/Users/spursh/Documents/code/hours-frontend-next/app/register/components/StudentRegistrationForm.tsx", "TypeScript JSX", 0, 0, 68, 0, 0, 0, 0, 7, 75
"/Users/spursh/Documents/code/hours-frontend-next/app/register/components/VerificationField.tsx", "TypeScript JSX", 0, 0, 24, 0, 0, 0, 0, 4, 28
"/Users/spursh/Documents/code/hours-frontend-next/app/register/page.tsx", "TypeScript JSX", 0, 0, -436, 0, 0, 0, -8, -41, -485
"/Users/spursh/Documents/code/hours-frontend-next/app/reset-password/page.tsx", "TypeScript JSX", 0, 0, 274, 0, 0, 0, 8, 32, 314
"/Users/spursh/Documents/code/hours-frontend-next/app/student/dashboard/components/DashboardHero.tsx", "TypeScript JSX", 0, 0, 48, 0, 0, 0, 0, 4, 52
"/Users/spursh/Documents/code/hours-frontend-next/app/student/dashboard/components/EmptyHoursState.tsx", "TypeScript JSX", 0, 0, 27, 0, 0, 0, 0, 4, 31
"/Users/spursh/Documents/code/hours-frontend-next/app/student/dashboard/components/HoursFilters.tsx", "TypeScript JSX", 0, 0, 60, 0, 0, 0, 0, 4, 64
"/Users/spursh/Documents/code/hours-frontend-next/app/student/dashboard/components/HoursTable.tsx", "TypeScript JSX", 0, 0, 81, 0, 0, 0, 0, 7, 88
"/Users/spursh/Documents/code/hours-frontend-next/app/student/dashboard/components/StatsCards.tsx", "TypeScript JSX", 0, 0, 90, 0, 0, 0, 0, 7, 97
"/Users/spursh/Documents/code/hours-frontend-next/app/student/dashboard/components/index.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/spursh/Documents/code/hours-frontend-next/app/student/dashboard/page.tsx", "TypeScript JSX", 0, 0, -312, 0, 0, 0, -8, -23, -343
"/Users/spursh/Documents/code/hours-frontend-next/app/student/settings/page.tsx", "TypeScript JSX", 0, 0, -42, 0, 0, 0, -4, -2, -48
"/Users/spursh/Documents/code/hours-frontend-next/app/supervisor/dashboard/components/AllHoursFilters.tsx", "TypeScript JSX", 0, 0, 56, 0, 0, 0, 0, 4, 60
"/Users/spursh/Documents/code/hours-frontend-next/app/supervisor/dashboard/components/AllHoursTable.tsx", "TypeScript JSX", 0, 0, 108, 0, 0, 0, 0, 6, 114
"/Users/spursh/Documents/code/hours-frontend-next/app/supervisor/dashboard/components/ApprovalQueueEntry.tsx", "TypeScript JSX", 0, 0, 102, 0, 0, 0, 0, 6, 108
"/Users/spursh/Documents/code/hours-frontend-next/app/supervisor/dashboard/components/ApprovalQueueTab.tsx", "TypeScript JSX", 0, 0, 79, 0, 0, 0, 0, 4, 83
"/Users/spursh/Documents/code/hours-frontend-next/app/supervisor/dashboard/components/BulkRejectDialog.tsx", "TypeScript JSX", 0, 0, 56, 0, 0, 0, 0, 4, 60
"/Users/spursh/Documents/code/hours-frontend-next/app/supervisor/dashboard/components/DeleteHourDialog.tsx", "TypeScript JSX", 0, 0, 35, 0, 0, 0, 0, 4, 39
"/Users/spursh/Documents/code/hours-frontend-next/app/supervisor/dashboard/components/EditHourDialog.tsx", "TypeScript JSX", 0, 0, 92, 0, 0, 0, 0, 4, 96
"/Users/spursh/Documents/code/hours-frontend-next/app/supervisor/dashboard/components/EmptyAllHours.tsx", "TypeScript JSX", 0, 0, 18, 0, 0, 0, 0, 4, 22
"/Users/spursh/Documents/code/hours-frontend-next/app/supervisor/dashboard/components/EmptyApprovalQueue.tsx", "TypeScript JSX", 0, 0, 14, 0, 0, 0, 0, 3, 17
"/Users/spursh/Documents/code/hours-frontend-next/app/supervisor/dashboard/components/SupervisorHero.tsx", "TypeScript JSX", 0, 0, 35, 0, 0, 0, 0, 4, 39
"/Users/spursh/Documents/code/hours-frontend-next/app/supervisor/dashboard/components/SupervisorStatsCards.tsx", "TypeScript JSX", 0, 0, 78, 0, 0, 0, 0, 7, 85
"/Users/spursh/Documents/code/hours-frontend-next/app/supervisor/dashboard/components/index.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/spursh/Documents/code/hours-frontend-next/app/supervisor/dashboard/page.tsx", "TypeScript JSX", 0, 0, -759, 0, 0, 0, -18, -53, -830
"/Users/spursh/Documents/code/hours-frontend-next/app/unauthorized/page.tsx", "TypeScript JSX", 0, 0, 77, 0, 0, 0, 0, 9, 86
"/Users/spursh/Documents/code/hours-frontend-next/components/auth/AuthCardHeader.tsx", "TypeScript JSX", 0, 0, 19, 0, 0, 0, 0, 4, 23
"/Users/spursh/Documents/code/hours-frontend-next/components/auth/AuthFooterLink.tsx", "TypeScript JSX", 0, 0, 19, 0, 0, 0, 0, 4, 23
"/Users/spursh/Documents/code/hours-frontend-next/components/auth/AuthPageContainer.tsx", "TypeScript JSX", 0, 0, 13, 0, 0, 0, 0, 4, 17
"/Users/spursh/Documents/code/hours-frontend-next/components/auth/AuthSecurityBadge.tsx", "TypeScript JSX", 0, 0, 15, 0, 0, 0, 0, 4, 19
"/Users/spursh/Documents/code/hours-frontend-next/components/auth/AuthTabs.tsx", "TypeScript JSX", 0, 0, 28, 0, 0, 0, 0, 4, 32
"/Users/spursh/Documents/code/hours-frontend-next/components/auth/BackButton.tsx", "TypeScript JSX", 0, 0, 14, 0, 0, 0, 0, 3, 17
"/Users/spursh/Documents/code/hours-frontend-next/components/data/DataTable.tsx", "TypeScript JSX", 0, 0, 52, 0, 0, 0, 0, 5, 57
"/Users/spursh/Documents/code/hours-frontend-next/components/feedback/EmailVerificationAlert.tsx", "TypeScript JSX", 0, 0, 68, 0, 0, 0, 0, 8, 76
"/Users/spursh/Documents/code/hours-frontend-next/components/feedback/EmptyState.tsx", "TypeScript JSX", 0, 0, 23, 0, 0, 0, 0, 3, 26
"/Users/spursh/Documents/code/hours-frontend-next/components/feedback/ErrorState.tsx", "TypeScript JSX", 0, 0, 31, 0, 0, 0, 0, 5, 36
"/Users/spursh/Documents/code/hours-frontend-next/components/feedback/LoadingSpinner.tsx", "TypeScript JSX", 0, 0, 29, 0, 0, 0, 0, 6, 35
"/Users/spursh/Documents/code/hours-frontend-next/components/feedback/index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/spursh/Documents/code/hours-frontend-next/components/forms/Field.tsx", "TypeScript JSX", 0, 0, 42, 0, 0, 0, 0, 6, 48
"/Users/spursh/Documents/code/hours-frontend-next/components/forms/Form.tsx", "TypeScript JSX", 0, 0, 23, 0, 0, 0, 0, 4, 27
"/Users/spursh/Documents/code/hours-frontend-next/components/forms/FormAlerts.tsx", "TypeScript JSX", 0, 0, 26, 0, 0, 0, 0, 5, 31
"/Users/spursh/Documents/code/hours-frontend-next/components/forms/PasswordField.tsx", "TypeScript JSX", 0, 0, 51, 0, 0, 0, 0, 5, 56
"/Users/spursh/Documents/code/hours-frontend-next/components/forms/SubmitButton.tsx", "TypeScript JSX", 0, 0, 29, 0, 0, 0, 0, 4, 33
"/Users/spursh/Documents/code/hours-frontend-next/components/layout/bottom-tabs.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/spursh/Documents/code/hours-frontend-next/components/layout/top-nav.tsx", "TypeScript JSX", 0, 0, 2, 0, 0, 0, 0, 0, 2
"/Users/spursh/Documents/code/hours-frontend-next/components/providers/Providers.tsx", "TypeScript JSX", 0, 0, 16, 0, 0, 0, 0, 4, 20
"/Users/spursh/Documents/code/hours-frontend-next/components/ui/dialog.tsx", "TypeScript JSX", 0, 0, -2, 0, 0, 0, 0, 0, -2
"/Users/spursh/Documents/code/hours-frontend-next/components/ui/organization-selector.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/spursh/Documents/code/hours-frontend-next/contexts/AuthContext.tsx", "TypeScript JSX", 0, 0, 7, 0, 0, 0, 2, 0, 9
"/Users/spursh/Documents/code/hours-frontend-next/eslint.config.mjs", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/spursh/Documents/code/hours-frontend-next/hooks/admin/useAdminAdminActions.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 2, 32
"/Users/spursh/Documents/code/hours-frontend-next/hooks/admin/useAdminAdminHandlers.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/spursh/Documents/code/hours-frontend-next/hooks/admin/useAdminAdminManagement.ts", "TypeScript", 63, 0, 0, 0, 0, 0, 0, 2, 65
"/Users/spursh/Documents/code/hours-frontend-next/hooks/admin/useAdminData.ts", "TypeScript", 52, 0, 0, 0, 0, 0, 0, 2, 54
"/Users/spursh/Documents/code/hours-frontend-next/hooks/admin/useAdminDialogState.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 2, 47
"/Users/spursh/Documents/code/hours-frontend-next/hooks/admin/useAdminFilterState.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 2, 19
"/Users/spursh/Documents/code/hours-frontend-next/hooks/admin/useAdminFiltering.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 0, 2, 39
"/Users/spursh/Documents/code/hours-frontend-next/hooks/admin/useAdminGraduatedStudents.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 2, 41
"/Users/spursh/Documents/code/hours-frontend-next/hooks/admin/useAdminHourActions.ts", "TypeScript", 56, 0, 0, 0, 0, 0, 0, 2, 58
"/Users/spursh/Documents/code/hours-frontend-next/hooks/admin/useAdminHoursActions.ts", "TypeScript", 83, 0, 0, 0, 0, 0, 0, 2, 85
"/Users/spursh/Documents/code/hours-frontend-next/hooks/admin/useAdminHoursHandlers.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/spursh/Documents/code/hours-frontend-next/hooks/admin/useAdminHoursSelection.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 2, 38
"/Users/spursh/Documents/code/hours-frontend-next/hooks/admin/useAdminOrgHandlers.ts", "TypeScript", 75, 0, 0, 0, 0, 0, 0, 10, 85
"/Users/spursh/Documents/code/hours-frontend-next/hooks/admin/useAdminOrganizationActions.ts", "TypeScript", 44, 0, 0, 0, 0, 0, 0, 2, 46
"/Users/spursh/Documents/code/hours-frontend-next/hooks/admin/useAdminState.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 2, 38
"/Users/spursh/Documents/code/hours-frontend-next/hooks/admin/useAdminStudentActions.ts", "TypeScript", 64, 0, 0, 0, 0, 0, 0, 2, 66
"/Users/spursh/Documents/code/hours-frontend-next/hooks/admin/useAdminSupervHandlers.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 6, 40
"/Users/spursh/Documents/code/hours-frontend-next/hooks/admin/useAdminSupervisorActions.ts", "TypeScript", 67, 0, 0, 0, 0, 0, 0, 2, 69
"/Users/spursh/Documents/code/hours-frontend-next/hooks/admin/useAdminUserHandlers.ts", "TypeScript", 86, 0, 0, 0, 0, 0, 0, 12, 98
"/Users/spursh/Documents/code/hours-frontend-next/hooks/mutations/useLogin.ts", "TypeScript", 64, 0, 0, 0, 0, 0, 0, 8, 72
"/Users/spursh/Documents/code/hours-frontend-next/hooks/mutations/useRegister.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 5, 34
"/Users/spursh/Documents/code/hours-frontend-next/hooks/supervisor/useSupervisorBulkActions.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 2, 47
"/Users/spursh/Documents/code/hours-frontend-next/hooks/supervisor/useSupervisorEditActions.ts", "TypeScript", 50, 0, 0, 0, 0, 0, 0, 2, 52
"/Users/spursh/Documents/code/hours-frontend-next/hooks/supervisor/useSupervisorIndividualActions.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 2, 38
"/Users/spursh/Documents/code/hours-frontend-next/hooks/supervisor/useSupervisorSelection.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 1, 22
"/Users/spursh/Documents/code/hours-frontend-next/hooks/supervisor/useSupervisorState.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 2, 20
"/Users/spursh/Documents/code/hours-frontend-next/hooks/useAdminDashboard.ts", "TypeScript", -242, 0, 0, 0, 0, 0, 0, -24, -266
"/Users/spursh/Documents/code/hours-frontend-next/hooks/useAdminDialogs.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 4, 49
"/Users/spursh/Documents/code/hours-frontend-next/hooks/useAdminFilters.ts", "TypeScript", 64, 0, 0, 0, 0, 0, 0, 11, 75
"/Users/spursh/Documents/code/hours-frontend-next/hooks/useHoursFilter.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/spursh/Documents/code/hours-frontend-next/hooks/useSupervisorActions.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 3, 29
"/Users/spursh/Documents/code/hours-frontend-next/hooks/useSupervisorFilter.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/spursh/Documents/code/hours-frontend-next/hooks/useSupervisorStats.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/spursh/Documents/code/hours-frontend-next/lib/api-client.ts", "TypeScript", 75, 0, 0, 0, 0, 0, -11, 3, 67
"/Users/spursh/Documents/code/hours-frontend-next/lib/api/endpoints.ts", "TypeScript", 89, 0, 0, 0, 0, 0, 0, 21, 110
"/Users/spursh/Documents/code/hours-frontend-next/lib/api/schemas/auth.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 7, 54
"/Users/spursh/Documents/code/hours-frontend-next/lib/api/schemas/hours.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 5, 27
"/Users/spursh/Documents/code/hours-frontend-next/lib/api/schemas/users.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 5, 30
"/Users/spursh/Documents/code/hours-frontend-next/lib/query/keys.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 1, 25
"/Users/spursh/Documents/code/hours-frontend-next/lib/query/queryClient.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/spursh/Documents/code/hours-frontend-next/lib/utils/csv-export.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 4, 32
"/Users/spursh/Documents/code/hours-frontend-next/lib/utils/error-messages.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/spursh/Documents/code/hours-frontend-next/lib/utils/graduation-year.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/spursh/Documents/code/hours-frontend-next/lib/utils/hours-export.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 6, 33
"/Users/spursh/Documents/code/hours-frontend-next/lib/utils/registration-errors.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 6, 46
"/Users/spursh/Documents/code/hours-frontend-next/lib/utils/staff-registration.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/spursh/Documents/code/hours-frontend-next/lib/utils/student-helpers.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 4, 26
"/Users/spursh/Documents/code/hours-frontend-next/lib/utils/supervisor-export.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 9, 38
"/Users/spursh/Documents/code/hours-frontend-next/lib/utils/supervisor-helpers.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 6, 40
"/Users/spursh/Documents/code/hours-frontend-next/middleware.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 8, 0, 25
"/Users/spursh/Documents/code/hours-frontend-next/package-lock.json", "JSON", 0, 0, 0, 5021, 0, 0, 0, 0, 5021
"/Users/spursh/Documents/code/hours-frontend-next/package.json", "JSON", 0, 0, 0, 28, 0, 0, 0, 0, 28
"/Users/spursh/Documents/code/hours-frontend-next/playwright.config.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 2, 26
"/Users/spursh/Documents/code/hours-frontend-next/pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 2625, 0, 465, 3090
"/Users/spursh/Documents/code/hours-frontend-next/test/setup.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/spursh/Documents/code/hours-frontend-next/vitest.config.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 2, 18
"Total", "-", 1693, 1, 2164, 5049, 96, 2625, -47, 889, 12470
